transport_type,km_per_day,food_type,kg_food_per_day,energy_source,kwh_per_day,flights_per_year,flight_km_total,monthly_co2_kg
flight_short,57.88,fruits,2.31,nuclear,20.21,1,4014.95,601.18
car_petrol,56.08,nuts,2.42,coal,7.9,0,0.0,670.28
flight_short,65.16,fish,0.59,wind,39.75,4,9589.71,756.51
bicycle,21.26,beef,1.76,hydro,18.45,6,5045.09,1533.38
walking,76.28,rice,1.29,grid_india,26.7,7,12408.19,867.69
car_diesel,24.95,fish,2.45,hydro,6.13,8,22571.66,1022.57
bus,50.21,pork,2.15,natural_gas,19.58,4,20402.46,1585.76
car_diesel,46.37,fish,0.55,coal,32.22,1,7904.57,1251.65
car_petrol,33.26,fruits,1.26,hydro,34.02,0,0.0,226.09
car_petrol,6.03,dairy,2.23,coal,23.7,4,31899.11,1289.32
train,48.89,fish,2.39,grid_eu,18.22,4,15516.32,838.84
car_petrol,61.77,lamb,1.22,grid_india,5.78,9,39620.77,2621.1
flight_short,67.35,lamb,2.2,hydro,38.88,8,39397.35,3283.27
train,51.52,lamb,2.11,nuclear,9.77,1,3129.41,2514.07
car_diesel,52.75,legumes,0.68,natural_gas,17.19,5,19409.14,845.81
walking,69.68,fish,2.09,grid_eu,37.43,9,56401.95,1652.5
bus,39.44,lamb,1.74,natural_gas,16.51,2,9058.95,2841.09
flight_short,57.33,chicken,0.86,grid_india,19.41,2,8728.54,1106.87
car_diesel,50.15,pork,0.58,wind,17.08,9,16448.21,688.18
car_diesel,14.66,fruits,1.88,grid_us,8.23,8,45267.08,958.88
motorcycle,70.52,beef,1.05,coal,7.96,2,3767.82,1314.72
flight_short,22.71,nuts,1.24,grid_india,30.22,9,6976.12,959.01
motorcycle,14.98,pork,2.29,natural_gas,20.66,2,6957.46,1318.5
walking,47.3,beef,0.92,grid_eu,23.74,8,57431.64,1831.47
bus,40.55,fruits,2.08,natural_gas,8.04,5,24506.54,678.03
car_ev,33.41,fish,1.23,grid_eu,26.26,7,29658.0,1054.19
flight_short,50.43,beef,0.52,wind,10.35,6,24951.44,1260.22
flight_short,78.13,rice,1.95,grid_us,30.15,7,28522.52,1655.71
train,19.03,eggs,1.92,solar,22.77,0,0.0,344.36
flight_short,48.59,legumes,2.36,oil,6.81,1,3907.01,656.07
train,9.75,nuts,0.9,grid_india,33.35,0,0.0,882.18
car_ev,31.17,beef,2.2,natural_gas,9.35,7,55523.8,2785.64
car_diesel,18.59,pork,2.35,hydro,6.68,7,46966.9,1783.02
car_ev,17.32,fish,0.97,grid_eu,36.78,8,56632.03,1475.69
bicycle,56.22,rice,1.38,oil,26.84,0,0.0,634.41
car_petrol,34.36,lamb,1.59,grid_india,13.02,6,8260.41,2477.03
flight_short,29.96,pork,1.17,solar,32.79,0,0.0,700.49
flight_short,61.43,fish,2.06,coal,6.17,5,29277.4,1492.32
train,70.76,beef,0.71,solar,21.0,3,10438.96,835.24
bus,59.17,lamb,0.52,oil,29.29,3,17614.03,1662.82
train,67.01,fruits,1.19,hydro,19.03,9,68441.63,1264.87
car_diesel,50.86,rice,2.24,solar,37.16,4,29674.98,998.59
motorcycle,53.85,beef,1.65,grid_eu,7.41,2,12046.66,1691.82
train,17.41,chicken,0.75,grid_us,16.63,5,21956.43,721.28
motorcycle,50.59,vegetables,1.99,grid_eu,33.1,4,20111.65,883.84
walking,73.99,lamb,1.43,natural_gas,37.15,2,4723.4,2196.87
bicycle,42.38,eggs,0.57,coal,17.68,5,10753.65,694.24
car_petrol,77.08,beef,1.61,hydro,7.99,7,29865.24,2076.38
car_petrol,28.25,dairy,1.35,grid_india,36.43,0,0.0,1203.48
car_diesel,27.05,pork,1.41,natural_gas,23.71,0,0.0,942.61
flight_short,62.4,chicken,0.86,nuclear,38.11,9,22775.27,982.26
flight_long,78.42,lamb,2.23,grid_india,5.95,6,14424.99,3748.65
flight_long,55.39,rice,0.71,wind,11.25,0,0.0,430.53
motorcycle,59.17,rice,2.11,solar,38.05,5,10186.91,689.18
flight_long,72.23,dairy,1.77,coal,12.28,2,2841.65,955.8
car_diesel,71.95,fish,1.18,grid_eu,33.88,2,9854.42,1071.01
bus,51.81,eggs,2.05,grid_us,20.26,2,15226.8,890.36
walking,47.43,legumes,2.29,coal,21.97,0,0.0,614.22
motorcycle,57.41,vegetables,1.02,hydro,27.58,3,4476.21,355.1
train,6.38,lamb,1.56,grid_eu,25.18,5,5019.08,2198.02
train,53.86,fruits,1.94,wind,5.38,4,9910.51,306.46
car_diesel,50.04,vegetables,1.49,grid_eu,37.0,9,31795.75,1115.51
walking,36.65,lamb,0.83,coal,7.9,3,18847.18,1540.65
flight_long,50.78,eggs,1.45,grid_india,37.79,4,16512.65,1567.31
walking,7.34,chicken,0.82,solar,6.8,1,5174.99,235.16
motorcycle,59.61,vegetables,1.91,grid_india,20.22,6,6417.0,837.25
car_diesel,64.96,nuts,2.44,hydro,25.66,2,5718.95,648.1
car_petrol,18.88,rice,2.02,wind,31.57,4,22768.3,768.12
flight_short,78.54,lamb,1.48,grid_eu,6.81,9,7161.31,2566.68
flight_long,46.69,eggs,2.33,wind,30.59,2,14865.94,869.37
car_diesel,36.63,lamb,1.99,solar,34.56,1,4418.26,2820.71
motorcycle,22.25,nuts,1.46,oil,29.37,7,26654.19,1268.9
flight_long,9.9,rice,1.58,hydro,16.16,1,4401.26,347.25
car_diesel,6.83,fruits,2.48,nuclear,11.49,1,7543.01,241.22
car_ev,10.25,chicken,0.61,coal,19.07,4,16393.44,806.67
bicycle,62.62,vegetables,1.17,solar,30.82,0,0.0,111.34
motorcycle,26.54,chicken,1.93,wind,6.47,0,0.0,469.17
walking,64.85,fish,0.68,hydro,39.38,7,28038.58,599.84
car_diesel,17.53,chicken,0.63,grid_india,38.0,5,25290.13,1325.41
car_diesel,33.81,vegetables,0.87,oil,33.92,4,3735.28,951.39
flight_long,71.28,pork,1.69,coal,11.09,9,39279.23,1959.63
car_ev,66.19,eggs,1.75,grid_us,25.75,4,4744.61,731.85
bicycle,34.34,legumes,0.76,grid_us,6.55,1,6965.96,215.27
train,60.14,lamb,1.32,hydro,14.09,4,3463.51,1780.6
car_diesel,11.08,nuts,0.72,wind,39.7,1,4213.6,216.63
walking,47.85,rice,1.86,coal,35.75,2,14022.41,1294.78
car_petrol,16.8,vegetables,1.17,grid_us,37.55,3,15418.76,824.61
walking,39.91,dairy,0.51,wind,31.02,1,6634.75,171.05
flight_long,19.48,legumes,2.46,coal,9.05,1,5255.04,525.13
flight_short,26.25,dairy,1.58,natural_gas,16.97,4,5075.29,691.92
bus,18.03,chicken,0.64,coal,31.98,0,0.0,1024.3
car_diesel,70.37,nuts,2.0,oil,25.8,6,5953.18,1026.24
car_petrol,29.27,pork,1.01,nuclear,20.61,1,7978.43,621.95
flight_long,44.53,legumes,0.94,natural_gas,32.05,3,16226.5,908.49
car_ev,76.31,nuts,0.56,wind,36.83,4,21155.78,479.85
car_ev,28.4,fruits,2.29,natural_gas,12.46,0,0.0,293.29
car_diesel,69.83,legumes,2.44,grid_us,35.4,4,6609.74,1017.91
flight_long,51.97,nuts,0.57,grid_eu,26.58,8,4073.91,554.19
flight_long,14.39,nuts,1.0,grid_us,12.02,8,13649.53,485.31
car_diesel,64.82,legumes,2.47,coal,5.41,1,5603.42,659.21
car_diesel,41.0,eggs,1.08,grid_us,35.1,5,36543.2,1430.86
bicycle,23.15,vegetables,1.64,hydro,26.64,3,9285.37,279.93
motorcycle,5.73,nuts,0.64,coal,8.08,0,0.0,248.15
flight_short,47.57,fruits,2.1,natural_gas,6.44,0,0.0,498.68
car_ev,72.22,vegetables,2.37,nuclear,26.45,8,46543.63,1043.14
bus,30.46,legumes,1.47,solar,24.36,5,33148.67,713.1
walking,41.07,vegetables,0.83,natural_gas,7.11,6,32263.24,758.86
car_ev,78.19,chicken,1.99,nuclear,20.18,2,3425.09,586.18
flight_short,58.94,eggs,1.16,grid_india,39.12,2,2222.9,1383.84
flight_short,7.3,beef,2.18,coal,35.39,9,54632.69,3495.84
bus,52.16,nuts,1.24,solar,22.67,1,7002.74,344.88
train,34.66,chicken,2.25,natural_gas,32.75,6,15457.25,1364.54
car_ev,26.29,nuts,1.27,natural_gas,27.1,0,0.0,548.54
flight_long,52.44,lamb,0.86,wind,7.42,8,18833.86,1650.16
motorcycle,48.46,chicken,1.69,hydro,27.82,8,62164.74,1607.27
car_petrol,63.01,rice,1.29,nuclear,20.88,9,9461.03,637.08
walking,38.66,nuts,2.16,coal,20.73,7,35900.11,1202.56
bus,33.45,legumes,1.97,wind,23.67,0,0.0,154.31
motorcycle,48.9,eggs,0.91,solar,14.44,1,1422.28,318.4
train,75.04,fish,0.71,oil,6.46,9,31323.08,883.43
car_diesel,77.38,legumes,0.53,grid_us,27.37,8,38806.73,1369.02
flight_long,55.01,chicken,0.75,solar,29.66,9,53970.68,1274.46
motorcycle,77.74,beef,1.96,hydro,35.38,5,12073.99,2065.83
car_diesel,51.34,rice,2.23,coal,6.06,7,45264.29,1413.68
bus,55.74,pork,2.38,wind,28.34,8,10395.58,1251.57
bicycle,11.79,vegetables,0.72,natural_gas,19.14,3,16520.85,585.5
flight_short,72.6,vegetables,1.13,coal,9.21,5,26840.3,1357.47
walking,34.71,fish,1.26,grid_us,25.88,0,0.0,491.62
flight_short,10.49,pork,0.84,grid_eu,31.58,8,26787.15,1083.98
flight_short,73.57,fruits,0.72,wind,18.96,4,9382.09,787.16
bus,50.59,dairy,2.13,natural_gas,30.04,4,7873.34,897.26
car_ev,9.52,fish,1.46,oil,8.55,3,7277.47,578.11
bus,55.26,nuts,1.58,grid_eu,26.36,1,3499.29,512.41
walking,64.98,dairy,1.09,coal,24.86,9,66448.29,1801.61
bus,41.27,dairy,2.13,grid_india,23.43,6,31709.33,1496.7
walking,20.9,fruits,0.85,grid_us,34.4,7,43922.1,1163.61
car_petrol,22.77,fish,1.1,grid_india,33.79,6,33039.75,1606.82
car_petrol,36.8,fish,0.84,oil,35.42,0,0.0,1014.43
car_petrol,18.38,fish,1.78,nuclear,24.13,9,21839.66,774.16
bicycle,79.08,pork,1.69,natural_gas,19.15,5,19217.16,1218.64
bicycle,56.93,dairy,1.18,oil,26.11,5,24189.51,996.51
motorcycle,53.4,chicken,0.88,grid_india,17.84,5,15812.36,991.3
bus,38.18,nuts,0.64,wind,7.45,4,10134.42,343.48
walking,29.98,eggs,0.6,natural_gas,17.7,2,11959.76,565.23
bus,9.51,nuts,0.68,wind,11.14,8,14228.68,286.9
flight_long,61.71,beef,1.1,grid_india,32.84,6,20969.22,2082.92
motorcycle,6.5,chicken,2.35,coal,34.47,4,4787.87,1493.68
car_petrol,50.64,nuts,2.06,natural_gas,7.21,3,8320.39,664.05
car_diesel,30.63,vegetables,0.68,grid_us,24.38,2,6954.72,656.91
flight_long,17.13,eggs,1.49,hydro,24.83,3,6191.49,409.3
car_petrol,13.73,lamb,1.76,grid_india,23.64,5,7797.93,2852.92
train,6.72,legumes,1.89,natural_gas,38.51,1,5307.29,692.99
bicycle,48.14,eggs,1.13,coal,26.22,5,33599.97,1372.75
flight_short,15.98,fish,0.74,wind,5.9,8,17953.08,548.79
bus,37.96,nuts,2.2,natural_gas,27.76,2,6796.91,732.8
bicycle,9.36,legumes,2.01,grid_india,15.41,6,13763.1,613.56
car_ev,10.6,nuts,1.11,oil,11.22,0,0.0,294.22
bus,54.18,eggs,1.35,wind,36.03,2,6516.39,478.01
flight_short,67.07,fish,1.27,wind,5.39,1,1503.53,825.32
train,62.02,fruits,0.88,wind,12.53,4,27029.1,538.13
train,19.91,fish,2.42,solar,18.0,0,0.0,518.62
flight_long,16.19,chicken,2.23,natural_gas,21.66,8,40844.88,1526.14
flight_short,34.43,fruits,2.28,grid_us,8.58,7,20058.86,740.89
car_petrol,68.07,fruits,1.01,grid_india,21.15,6,32670.93,1533.74
flight_short,52.75,beef,0.63,grid_india,35.89,4,24123.01,2279.19
motorcycle,11.36,legumes,1.82,oil,7.49,7,5367.47,323.48
bus,60.31,fruits,1.42,solar,17.24,2,10920.56,397.51
train,46.22,eggs,2.03,grid_eu,5.73,0,0.0,387.82
motorcycle,51.85,lamb,1.83,oil,9.25,3,18929.26,2887.23
car_diesel,29.17,chicken,1.09,grid_india,8.99,4,29608.92,1159.69
car_diesel,14.61,beef,2.36,nuclear,8.33,7,26184.04,2659.89
flight_short,25.53,chicken,0.74,oil,36.04,7,55601.81,1847.63
walking,66.2,dairy,2.26,grid_us,24.04,4,24651.26,950.16
motorcycle,46.84,dairy,1.81,hydro,31.36,8,60243.28,1326.34
car_diesel,13.1,fish,1.95,natural_gas,12.47,2,3260.14,628.55
train,49.28,rice,1.72,hydro,24.78,6,28972.78,689.11
bicycle,62.08,rice,1.42,grid_india,13.63,4,28443.52,883.1
walking,54.32,vegetables,1.61,nuclear,26.52,1,3165.38,152.7
bicycle,46.57,eggs,2.2,grid_eu,6.24,0,0.0,383.08
bus,29.52,pork,2.18,hydro,35.68,4,5741.42,1030.09
bus,59.16,rice,0.93,grid_eu,18.7,4,2056.4,449.33
bus,35.17,dairy,1.46,oil,7.27,9,42400.21,1043.1
bus,8.96,rice,1.85,natural_gas,26.08,2,8473.84,810.09
flight_short,20.74,chicken,1.53,solar,9.28,0,0.0,471.88
car_diesel,32.86,beef,1.7,grid_us,37.66,0,0.0,2099.58
flight_short,79.33,nuts,1.27,grid_us,38.26,4,7534.29,1304.37
walking,30.09,legumes,0.55,hydro,14.56,0,0.0,24.77
train,68.15,fish,1.46,wind,21.04,4,23180.57,754.39
walking,11.05,dairy,2.31,oil,20.29,8,4421.75,679.61
bus,54.27,chicken,0.53,grid_india,7.0,5,12313.96,572.56
car_ev,25.67,rice,2.45,hydro,20.01,8,50602.63,1170.23
motorcycle,8.49,lamb,2.31,grid_us,17.11,1,3583.22,2893.02
flight_long,11.48,lamb,1.96,solar,9.48,6,20705.15,2792.43
bicycle,42.09,fish,1.01,oil,30.38,4,18959.91,1116.06
car_ev,28.15,fish,1.72,grid_us,11.41,0,0.0,473.02
flight_long,56.28,beef,1.55,natural_gas,19.14,8,51502.0,2590.99
car_petrol,45.77,eggs,0.95,natural_gas,21.96,4,6228.79,778.47
walking,39.67,pork,1.8,hydro,15.17,7,9376.64,843.97
walking,78.35,pork,2.07,nuclear,35.52,9,26789.52,1207.82
motorcycle,14.47,eggs,0.82,grid_us,24.61,9,42163.7,1230.59
car_diesel,9.89,pork,2.32,coal,18.68,2,2582.11,1466.07
car_diesel,12.01,fish,2.43,grid_india,11.54,7,18574.74,1079.55
bicycle,48.32,fish,1.12,grid_us,18.86,7,30810.0,1018.27
car_diesel,28.76,pork,1.23,natural_gas,10.91,5,7776.68,798.9
car_petrol,7.5,rice,2.29,wind,20.41,5,38790.85,913.84
car_petrol,36.33,dairy,0.74,natural_gas,10.81,5,39241.84,1138.88
flight_long,14.74,fish,1.62,coal,6.03,3,21530.81,889.3
bicycle,66.43,lamb,0.72,grid_us,21.49,8,25467.9,1484.51
car_diesel,66.44,nuts,1.17,grid_eu,13.55,7,8076.92,651.99
car_diesel,31.1,lamb,2.0,grid_us,20.24,5,30177.59,3498.88
car_ev,7.33,lamb,1.15,grid_india,5.13,6,10520.94,1715.66
flight_short,32.03,fish,0.57,wind,19.29,3,22611.86,708.81
car_petrol,62.45,pork,0.62,natural_gas,27.78,5,27652.46,1372.15
motorcycle,33.46,chicken,1.26,oil,19.45,3,1905.0,792.0
motorcycle,60.49,fruits,2.43,hydro,35.04,2,15591.64,581.05
bus,78.63,vegetables,1.11,nuclear,23.64,2,14091.31,536.76
motorcycle,57.78,chicken,0.69,grid_us,5.43,7,18400.99,729.21
bicycle,8.61,chicken,2.25,natural_gas,28.37,5,35961.34,1403.1
flight_long,44.85,beef,1.07,oil,14.37,1,4800.12,1396.6
train,49.92,beef,1.98,grid_us,36.84,3,21042.41,2525.27
car_diesel,70.92,beef,0.55,nuclear,20.06,5,18797.35,1150.93
walking,17.36,eggs,1.71,oil,20.58,8,46158.03,1494.33
bus,55.73,nuts,0.71,hydro,32.54,2,10783.36,403.06
flight_long,78.79,rice,1.77,hydro,36.2,1,3213.9,772.1
flight_short,8.42,rice,0.98,grid_eu,39.0,0,0.0,441.19
bus,20.52,eggs,2.21,coal,12.67,3,3930.58,694.03
walking,39.71,fish,1.64,grid_eu,15.27,8,27820.9,888.79
motorcycle,44.87,legumes,1.51,grid_us,6.04,2,7758.96,375.69
car_petrol,34.24,pork,1.32,grid_india,28.48,0,0.0,1291.39
car_diesel,24.25,chicken,1.27,solar,17.92,2,9944.82,552.93
motorcycle,61.34,beef,1.31,oil,17.42,6,21570.39,2090.14
car_ev,49.52,fruits,1.5,oil,36.97,8,13259.29,1135.31
car_ev,59.3,legumes,1.98,hydro,34.02,7,46550.66,943.45
car_petrol,11.33,fruits,2.32,coal,12.56,8,47750.41,1343.39
bicycle,10.05,fish,1.88,natural_gas,19.14,6,27414.05,1085.8
car_diesel,33.82,pork,2.22,grid_us,20.08,7,50206.73,2132.5
walking,32.75,eggs,1.91,coal,23.4,1,1751.45,830.78
motorcycle,62.14,chicken,1.18,grid_eu,27.6,2,6109.06,776.09
car_petrol,12.59,fish,1.56,solar,25.31,5,19525.06,678.22
train,22.14,rice,1.51,solar,8.48,5,37211.4,841.11
walking,34.66,eggs,2.01,wind,15.12,4,27064.41,683.02
car_ev,71.63,chicken,2.49,grid_us,39.44,3,2196.1,1040.17
flight_short,45.61,fish,1.46,natural_gas,10.89,4,27009.5,1104.95
car_ev,18.29,fish,1.18,wind,38.82,6,27517.24,686.73
car_petrol,48.54,rice,2.5,natural_gas,22.11,2,12735.82,1061.36
flight_short,47.7,fruits,1.42,nuclear,18.83,4,16266.38,719.21
bus,73.02,legumes,2.32,hydro,23.67,5,7399.46,387.72
car_petrol,56.06,vegetables,2.25,hydro,10.21,2,8693.54,615.26
bus,69.77,dairy,1.25,hydro,23.29,7,26664.24,784.46
car_ev,48.3,pork,2.29,natural_gas,20.52,3,19648.26,1542.93
car_ev,20.04,vegetables,0.62,coal,27.41,0,0.0,765.26
flight_long,6.43,eggs,1.88,oil,29.24,9,47196.73,1402.98
train,31.9,lamb,1.17,oil,12.37,8,51603.64,2641.91
train,5.42,rice,2.04,grid_us,31.81,3,17250.77,835.17
motorcycle,34.93,lamb,0.66,solar,19.25,5,13980.15,1261.29
car_diesel,5.46,pork,1.55,natural_gas,7.69,6,40893.35,1420.05
flight_short,8.77,lamb,1.92,grid_india,15.34,1,2607.53,2805.04
flight_long,40.73,beef,1.6,wind,6.18,2,6367.21,1622.27
bicycle,61.97,beef,1.94,grid_eu,25.51,7,32619.51,2361.48
car_diesel,58.55,chicken,1.11,hydro,24.72,3,4714.71,692.97
flight_long,59.05,nuts,1.49,natural_gas,9.68,1,5912.91,673.02
bicycle,5.01,fruits,2.07,natural_gas,14.67,5,36089.75,803.29
motorcycle,67.95,vegetables,1.18,grid_us,7.9,8,25614.04,840.43
bus,64.17,pork,1.37,coal,18.21,7,54114.12,1946.31
train,13.7,dairy,1.49,coal,37.56,8,46231.43,1923.37
car_petrol,25.88,legumes,2.4,grid_us,15.43,4,16262.2,697.49
car_ev,53.31,fruits,0.71,hydro,38.49,8,32558.06,674.54
car_ev,32.74,nuts,2.22,natural_gas,24.32,3,20632.83,873.23
bicycle,54.3,legumes,1.96,hydro,12.55,6,30348.85,534.56
flight_long,14.43,pork,1.13,wind,28.88,5,9970.57,652.68
bus,11.4,legumes,1.24,grid_us,33.82,5,21844.82,840.38
train,73.33,lamb,0.54,solar,38.21,2,8392.97,883.76
flight_short,44.82,eggs,1.03,grid_us,38.72,9,50234.1,1848.92
car_petrol,44.1,fruits,2.21,hydro,5.59,8,11212.43,494.73
flight_short,37.66,fish,1.18,nuclear,23.13,3,15941.85,840.48
train,53.48,dairy,2.26,oil,5.83,7,44617.92,1224.27
bicycle,26.84,eggs,0.8,grid_india,7.3,8,60242.71,1211.11
flight_long,55.37,chicken,2.42,grid_us,13.37,7,55544.71,2107.85
car_diesel,53.34,nuts,2.05,coal,12.89,6,9336.13,953.91
car_ev,16.02,fish,1.55,solar,18.59,0,0.0,342.1
bus,30.3,eggs,1.44,grid_us,29.15,9,14442.96,813.66
car_diesel,27.64,lamb,0.98,grid_eu,28.79,4,20627.26,1857.71
flight_short,62.06,fruits,0.86,oil,10.8,7,14482.24,928.78
flight_short,13.17,chicken,2.4,grid_india,29.91,9,39771.43,1935.02
train,37.77,pork,0.85,hydro,26.78,9,5457.83,476.19
car_diesel,57.37,legumes,1.54,natural_gas,38.85,7,11987.75,1143.67
motorcycle,62.98,chicken,0.99,coal,21.04,0,0.0,1008.5
flight_short,50.23,fish,0.52,wind,18.19,9,58820.84,1466.53
train,21.66,nuts,0.86,nuclear,30.51,5,18576.33,403.27
walking,72.6,eggs,1.3,natural_gas,39.76,8,49660.48,1539.7
car_petrol,52.66,chicken,2.01,oil,7.02,6,28970.52,1405.8
bus,33.97,fish,1.22,solar,34.65,0,0.0,345.53
bus,12.64,fruits,2.18,grid_us,6.36,9,69051.61,1330.15
bicycle,76.28,fish,1.94,grid_india,25.3,2,5895.08,945.22
car_ev,26.19,nuts,1.36,nuclear,38.13,7,24549.44,574.72
bus,42.32,chicken,0.91,grid_india,11.51,2,9907.04,725.74
bicycle,32.33,fruits,2.38,wind,21.1,7,46904.21,820.07
bus,16.37,vegetables,1.43,wind,14.89,6,44895.45,916.17
train,62.42,vegetables,1.68,hydro,17.68,8,62384.69,1160.06
bus,22.28,pork,0.6,solar,38.84,5,29939.68,771.37
bus,60.64,fish,2.02,grid_eu,15.6,4,23378.64,1016.17
flight_short,35.43,rice,2.02,hydro,25.67,0,0.0,544.83
flight_long,45.84,fruits,0.54,natural_gas,32.32,8,20130.8,1070.6
car_petrol,50.12,chicken,1.76,wind,24.6,0,0.0,738.15
bicycle,17.91,beef,2.37,grid_india,10.57,6,23777.23,2556.21
flight_long,68.79,vegetables,1.05,grid_us,11.83,5,15085.39,868.54
bus,16.8,beef,1.9,nuclear,24.23,0,0.0,1630.68
bus,33.83,pork,2.06,oil,5.4,9,46074.05,1648.39
car_diesel,37.82,chicken,1.62,oil,29.72,0,0.0,1108.83
flight_short,13.89,pork,2.4,grid_eu,33.31,3,15563.16,1458.13
car_diesel,70.36,pork,1.5,grid_india,13.77,7,52603.1,1915.56
motorcycle,8.89,beef,0.54,wind,15.74,0,0.0,488.78
train,59.95,fish,0.64,coal,15.0,8,45126.63,1264.67
flight_long,75.83,chicken,1.84,nuclear,11.96,2,12779.03,1028.62
motorcycle,79.28,rice,1.05,grid_eu,37.02,7,7043.88,764.04
flight_short,46.08,nuts,1.31,wind,11.64,3,11011.39,635.81
car_petrol,34.82,legumes,1.71,natural_gas,21.91,1,2655.96,618.29
flight_long,10.77,eggs,0.64,grid_us,8.22,2,10354.73,419.63
car_diesel,25.06,lamb,1.91,hydro,13.78,9,34921.34,3075.54
bus,23.71,lamb,2.23,coal,9.1,8,13289.72,3403.96
flight_short,75.43,fish,0.91,hydro,26.88,8,7029.34,815.71
flight_long,23.98,chicken,2.38,grid_eu,18.97,9,54410.06,1802.98
flight_short,78.28,beef,1.5,hydro,16.45,3,18338.65,2106.54
bus,37.58,vegetables,1.38,oil,25.63,0,0.0,710.95
bicycle,23.15,chicken,0.91,nuclear,11.97,6,5250.84,264.1
walking,49.78,lamb,1.24,nuclear,34.35,5,16873.16,1585.7
bus,74.95,rice,0.9,grid_eu,22.98,6,36206.28,1045.31
walking,37.06,eggs,2.1,nuclear,14.41,0,0.0,308.09
bicycle,7.63,legumes,1.41,grid_eu,13.69,5,18535.05,497.7
train,63.8,lamb,2.15,hydro,32.48,9,5979.15,2622.29
