transport_type,km_per_day,food_type,kg_food_per_day,energy_source,kwh_per_day,flights_per_year,flight_km_total,waste_co2_monthly,clothing_co2_monthly,grocery_bill_monthly,energy_efficient,monthly_co2_kg
car_petrol,215.17,chicken,0.15,coal,4.54,1,2000.0,8.66,25.83,95.0,1,245.08
bicycle,1.37,dairy,0.75,grid_eu,3.99,4,8000.0,34.64,1.67,249.0,0,112.42
bicycle,2.37,fish,0.15,natural_gas,5.46,0,0.0,4.33,14.17,213.0,1,86.5
bicycle,1.3,dairy,0.75,coal,5.55,0,0.0,30.31,25.83,81.0,0,151.25
bicycle,1.67,dairy,0.75,coal,4.89,8,16000.0,15.16,24.17,91.0,0,213.83
car_ev,290.23,vegetables,0.9,coal,4.23,8,16000.0,12.99,19.17,291.0,0,203.25
car_petrol,5.57,fish,0.15,grid_eu,4.9,8,16000.0,4.33,5.83,70.0,1,171.33
bus,21.03,fish,0.15,natural_gas,3.73,8,16000.0,30.31,1.67,89.0,0,191.58
bus,6.47,vegetables,0.9,grid_eu,5.48,1,2000.0,51.96,13.33,121.0,0,124.33
bicycle,1.53,chicken,0.15,coal,4.27,1,2000.0,4.33,37.5,198.0,0,141.0
bicycle,1.23,dairy,0.75,coal,4.88,4,8000.0,45.47,24.17,234.0,1,215.08
bicycle,1.03,dairy,0.75,coal,2.86,1,2000.0,17.32,0.83,84.0,0,79.17
car_petrol,96.0,vegetables,0.9,coal,4.81,0,0.0,10.82,7.5,182.0,0,160.25
bicycle,0.2,fish,0.15,coal,4.54,0,0.0,30.31,40.83,275.0,1,145.92
bicycle,1.33,fish,0.15,coal,3.52,8,16000.0,12.99,29.17,228.0,0,213.5
bicycle,0.03,vegetables,0.9,coal,4.49,4,8000.0,51.96,20.0,140.0,0,204.67
bus,44.7,dairy,0.75,grid_eu,5.56,0,0.0,15.16,6.67,232.0,0,54.75
bus,13.1,fish,0.15,grid_eu,5.99,8,16000.0,6.5,10.83,115.0,0,146.5
bus,6.37,vegetables,0.9,natural_gas,3.22,4,8000.0,17.32,36.67,157.0,0,182.0
bus,4.37,fish,0.15,coal,5.43,8,16000.0,15.16,16.67,156.0,0,250.75
car_diesel,47.3,chicken,0.15,coal,3.9,8,16000.0,43.3,35.83,252.0,1,312.33
car_ev,305.3,vegetables,0.9,grid_eu,3.26,1,2000.0,15.16,21.67,162.0,0,93.5
car_petrol,267.2,dairy,0.75,coal,5.16,0,0.0,6.5,11.67,145.0,0,234.17
bicycle,2.9,chicken,0.15,grid_eu,5.53,0,0.0,12.99,26.67,214.0,0,112.17
bicycle,0.1,vegetables,0.9,natural_gas,5.42,1,2000.0,10.82,2.5,126.0,1,55.92
bicycle,0.43,chicken,0.15,coal,5.86,4,8000.0,15.16,36.67,91.0,1,141.25
bicycle,2.47,chicken,0.15,grid_eu,4.14,0,0.0,25.98,1.67,205.0,0,67.5
car_petrol,258.1,fish,0.15,coal,3.94,4,8000.0,45.47,27.5,285.0,1,230.67
bus,33.1,vegetables,0.9,natural_gas,4.58,0,0.0,60.62,1.67,178.0,0,86.08
bus,66.57,chicken,0.15,coal,4.46,1,2000.0,34.64,14.17,236.0,0,170.5
car_ev,90.7,chicken,0.15,coal,5.87,1,2000.0,12.99,25.0,286.0,0,180.92
bicycle,0.17,dairy,0.75,coal,5.04,1,2000.0,30.31,1.67,108.0,1,109.33
bus,31.37,vegetables,0.9,coal,6.38,1,2000.0,8.66,2.5,76.0,0,100.75
car_diesel,293.83,vegetables,0.9,coal,4.14,4,8000.0,4.33,30.83,270.0,0,334.75
car_ev,109.2,fish,0.15,coal,4.75,1,2000.0,15.16,8.33,146.0,0,73.08
car_petrol,110.3,vegetables,0.9,grid_eu,4.8,0,0.0,21.65,13.33,221.0,1,154.67
car_petrol,87.43,fish,0.15,coal,5.47,0,0.0,8.66,25.83,230.0,0,183.08
car_diesel,263.83,chicken,0.15,grid_eu,5.48,8,16000.0,8.66,8.33,295.0,0,356.75
car_petrol,296.57,vegetables,0.9,grid_eu,4.39,4,8000.0,6.5,2.5,177.0,1,290.0
bicycle,0.63,dairy,0.75,natural_gas,6.07,0,0.0,4.33,30.0,189.0,0,79.42
car_ev,122.07,chicken,0.15,natural_gas,4.01,4,8000.0,4.33,36.67,174.0,1,170.5
car_petrol,20.37,vegetables,0.9,coal,5.05,0,0.0,51.96,30.83,193.0,0,210.08
bus,47.7,chicken,0.15,coal,3.93,8,16000.0,51.96,27.5,238.0,1,295.92
bus,65.93,fish,0.15,coal,5.31,0,0.0,12.99,30.0,101.0,1,121.58
bicycle,3.07,vegetables,0.9,grid_eu,3.88,8,16000.0,30.31,24.17,99.0,0,207.67
bicycle,2.73,chicken,0.15,coal,4.06,4,8000.0,8.66,19.17,50.0,0,200.92
bus,61.7,fish,0.15,coal,4.6,8,16000.0,60.62,1.67,71.0,1,230.08
bus,40.8,dairy,0.75,coal,4.59,1,2000.0,45.47,21.67,232.0,0,125.0
car_ev,273.97,fish,0.15,coal,5.2,0,0.0,75.78,1.67,247.0,0,142.33
bus,46.33,chicken,0.15,coal,4.42,0,0.0,60.62,1.67,222.0,0,143.08
bus,14.47,vegetables,0.9,coal,4.89,4,8000.0,4.33,34.17,61.0,0,177.92
car_petrol,248.67,vegetables,0.9,coal,3.15,0,0.0,12.99,9.17,137.0,0,170.17
bicycle,0.5,vegetables,0.9,coal,5.53,1,2000.0,2.17,41.67,157.0,0,101.75
car_diesel,156.2,dairy,0.75,natural_gas,2.87,8,16000.0,30.31,39.17,174.0,0,289.42
bicycle,2.93,dairy,0.75,grid_eu,4.31,0,0.0,43.3,32.5,214.0,0,114.83
bicycle,1.33,fish,0.15,grid_eu,4.57,8,16000.0,30.31,35.83,214.0,1,177.92
bicycle,1.87,fish,0.15,coal,4.65,0,0.0,12.99,40.83,66.0,0,122.0
bicycle,0.47,vegetables,0.9,coal,4.87,8,16000.0,90.93,1.67,123.0,1,234.67
bus,3.6,vegetables,0.9,coal,4.26,8,16000.0,4.33,15.83,105.0,0,184.17
car_ev,172.27,chicken,0.15,natural_gas,2.72,0,0.0,6.5,33.33,125.0,0,129.33
car_petrol,22.4,vegetables,0.9,coal,5.93,4,8000.0,6.5,28.33,280.0,0,200.5
bicycle,3.13,vegetables,0.9,natural_gas,4.37,8,16000.0,45.47,17.5,238.0,0,250.33
car_petrol,103.8,dairy,0.75,coal,4.4,1,2000.0,25.98,4.17,270.0,0,211.67
car_petrol,237.8,dairy,0.75,natural_gas,4.35,1,2000.0,30.31,6.67,80.0,1,202.0
car_diesel,286.97,vegetables,0.9,coal,4.15,1,2000.0,90.93,11.67,276.0,1,333.33
bus,28.4,chicken,0.15,natural_gas,4.15,0,0.0,15.16,26.67,210.0,0,107.33
bus,55.77,dairy,0.75,natural_gas,4.19,1,2000.0,25.98,41.67,270.0,1,193.08
bus,52.13,dairy,0.75,coal,4.4,8,16000.0,60.62,14.17,152.0,1,227.5
bicycle,2.47,vegetables,0.9,coal,3.87,1,2000.0,15.16,14.17,247.0,1,114.25
car_petrol,96.17,chicken,0.15,natural_gas,3.41,1,2000.0,8.66,27.5,145.0,0,195.75
car_petrol,271.0,vegetables,0.9,natural_gas,4.54,1,2000.0,60.62,22.5,260.0,0,378.0
bus,7.6,dairy,0.75,coal,4.17,8,16000.0,45.47,33.33,283.0,0,248.92
bus,38.73,dairy,0.75,coal,3.52,0,0.0,17.32,16.67,277.0,0,86.58
bus,2.37,fish,0.15,coal,3.57,0,0.0,8.66,20.0,203.0,0,86.33
car_diesel,211.23,chicken,0.15,natural_gas,5.14,4,8000.0,60.62,0.83,213.0,0,301.67
bus,54.97,vegetables,0.9,natural_gas,4.17,1,2000.0,8.66,17.5,135.0,0,84.08
car_diesel,205.3,chicken,0.15,natural_gas,3.69,8,16000.0,4.33,4.17,96.0,1,241.25
car_diesel,329.47,chicken,0.15,grid_eu,5.66,0,0.0,15.16,26.67,162.0,1,357.83
car_petrol,135.33,vegetables,0.9,coal,4.72,4,8000.0,106.09,38.33,233.0,0,285.75
bicycle,2.27,chicken,0.15,natural_gas,4.09,1,2000.0,30.31,10.83,262.0,1,111.17
bicycle,0.17,fish,0.15,coal,3.91,8,16000.0,60.62,28.33,176.0,0,308.08
bus,23.4,fish,0.15,natural_gas,4.68,1,2000.0,8.66,25.83,176.0,0,124.5
bicycle,0.07,vegetables,0.9,coal,2.72,8,16000.0,60.62,11.67,147.0,0,231.58
bicycle,1.4,chicken,0.15,coal,3.16,1,2000.0,2.17,1.67,83.0,0,82.75
bus,9.13,chicken,0.15,coal,4.49,0,0.0,75.78,26.67,205.0,0,162.0
bus,19.67,chicken,0.15,coal,2.56,4,8000.0,6.5,2.5,125.0,0,122.83
car_diesel,2.8,dairy,0.75,natural_gas,4.12,4,8000.0,2.17,4.17,145.0,1,156.67
car_diesel,230.27,fish,0.15,coal,4.12,4,8000.0,25.98,6.67,236.0,1,294.58
bicycle,1.73,chicken,0.15,coal,4.77,1,2000.0,30.31,37.5,101.0,0,137.0
car_petrol,4.03,dairy,0.75,natural_gas,3.58,4,8000.0,30.31,1.67,77.0,0,105.67
bicycle,1.0,chicken,0.15,natural_gas,4.54,1,2000.0,15.16,11.67,241.0,0,127.42
bus,44.53,vegetables,0.9,grid_eu,5.0,1,2000.0,60.62,28.33,124.0,1,173.0
bicycle,2.97,chicken,0.15,grid_eu,3.05,0,0.0,34.64,40.83,82.0,0,154.17
bus,47.07,fish,0.15,natural_gas,3.64,0,0.0,12.99,5.83,262.0,0,83.33
bicycle,0.13,dairy,0.75,grid_eu,4.53,0,0.0,6.5,28.33,254.0,0,123.75
bus,64.13,fish,0.15,coal,4.77,1,2000.0,4.33,15.83,76.0,0,94.92
bicycle,2.13,fish,0.15,natural_gas,3.84,0,0.0,17.32,10.83,207.0,0,56.83
car_ev,288.63,vegetables,0.9,natural_gas,3.81,0,0.0,8.66,8.33,234.0,1,77.17
bicycle,2.73,fish,0.15,coal,4.83,1,2000.0,2.17,6.67,93.0,1,86.42
bicycle,1.03,vegetables,0.9,grid_eu,2.59,8,16000.0,8.66,1.67,76.0,0,122.25
car_ev,174.33,chicken,0.15,natural_gas,3.89,1,2000.0,12.99,5.0,67.0,0,76.17
bus,15.0,chicken,0.15,grid_eu,6.2,4,8000.0,60.62,29.17,101.0,0,145.08
bus,14.7,dairy,0.75,coal,5.38,8,16000.0,4.33,38.33,73.0,1,228.5
car_petrol,205.33,dairy,0.75,coal,4.09,1,2000.0,17.32,6.67,280.0,0,249.0
bicycle,1.17,vegetables,0.9,coal,5.84,4,8000.0,17.32,28.33,85.0,0,180.0
bicycle,1.9,fish,0.15,natural_gas,3.19,4,8000.0,51.96,36.67,256.0,1,258.17
bicycle,0.23,dairy,0.75,coal,3.97,8,16000.0,45.47,35.83,193.0,0,230.33
car_petrol,182.3,fish,0.15,coal,4.1,4,8000.0,17.32,4.17,145.0,0,194.58
bicycle,0.2,fish,0.15,coal,5.07,4,8000.0,12.99,19.17,282.0,0,121.83
bus,0.7,chicken,0.15,coal,3.51,4,8000.0,6.5,25.83,133.0,0,196.33
bus,37.57,dairy,0.75,coal,4.96,1,2000.0,4.33,37.5,232.0,0,144.25
bicycle,0.23,chicken,0.15,coal,5.28,0,0.0,8.66,20.83,129.0,0,96.83
car_ev,200.93,dairy,0.75,coal,4.64,4,8000.0,45.47,10.0,140.0,0,157.0
car_petrol,55.63,vegetables,0.9,coal,3.15,1,2000.0,6.5,15.0,155.0,0,125.42
bus,65.73,fish,0.15,coal,3.59,0,0.0,12.99,1.67,171.0,1,104.33
bus,22.8,chicken,0.15,grid_eu,3.45,0,0.0,25.98,18.33,274.0,0,113.33
bicycle,0.43,chicken,0.15,coal,5.5,8,16000.0,34.64,35.0,264.0,0,318.67
car_petrol,268.7,vegetables,0.9,coal,4.34,8,16000.0,15.16,15.0,98.0,0,381.67
car_petrol,84.8,vegetables,0.9,coal,6.44,0,0.0,106.09,41.67,252.0,0,236.08
bicycle,1.53,dairy,0.75,grid_eu,5.64,1,2000.0,15.16,29.17,256.0,1,94.25
bus,2.07,fish,0.15,grid_eu,6.29,8,16000.0,2.17,15.0,209.0,0,198.5
car_ev,148.23,vegetables,0.9,coal,3.72,4,8000.0,60.62,35.83,269.0,0,220.75
car_diesel,143.43,fish,0.15,coal,5.22,1,2000.0,15.16,19.17,113.0,1,225.5
car_petrol,105.87,vegetables,0.9,grid_eu,5.34,8,16000.0,21.65,13.33,270.0,0,253.75
car_diesel,241.83,fish,0.15,coal,3.76,1,2000.0,4.33,41.67,72.0,0,261.17
bicycle,2.07,vegetables,0.9,coal,2.76,8,16000.0,106.09,15.83,101.0,0,301.58
car_petrol,208.47,chicken,0.15,coal,4.75,8,16000.0,12.99,37.5,196.0,1,417.75
bicycle,3.1,vegetables,0.9,coal,5.74,8,16000.0,12.99,14.17,277.0,1,203.58
bicycle,2.87,chicken,0.15,coal,4.07,0,0.0,6.5,6.67,91.0,0,40.67
bus,11.9,fish,0.15,coal,4.43,1,2000.0,106.09,32.5,97.0,0,200.75
car_petrol,290.83,vegetables,0.9,coal,3.46,8,16000.0,60.62,38.33,244.0,0,596.58
bus,58.43,dairy,0.75,natural_gas,4.22,8,16000.0,21.65,13.33,108.0,1,222.5
bicycle,1.5,chicken,0.15,coal,4.96,8,16000.0,8.66,36.67,106.0,0,193.42
bus,9.73,vegetables,0.9,coal,5.31,1,2000.0,10.82,20.83,103.0,0,131.17
bus,57.97,dairy,0.75,coal,4.65,8,16000.0,25.98,1.67,220.0,1,205.92
bicycle,0.07,chicken,0.15,grid_eu,4.08,4,8000.0,12.99,22.5,287.0,0,211.75
bicycle,1.27,chicken,0.15,coal,3.49,8,16000.0,12.99,17.5,123.0,1,191.5
bus,32.33,fish,0.15,grid_eu,4.4,1,2000.0,8.66,25.83,259.0,0,120.42
car_petrol,287.2,vegetables,0.9,natural_gas,5.16,0,0.0,106.09,1.67,172.0,0,353.33
bus,21.17,fish,0.15,coal,4.31,8,16000.0,6.5,35.0,227.0,1,220.83
car_ev,97.13,chicken,0.15,coal,4.33,0,0.0,4.33,10.83,161.0,0,86.08
bicycle,3.07,fish,0.15,grid_eu,5.6,1,2000.0,6.5,21.67,146.0,0,82.5
bicycle,2.23,vegetables,0.9,grid_eu,5.17,0,0.0,51.96,5.0,151.0,1,78.08
car_diesel,232.4,fish,0.15,grid_eu,3.43,4,8000.0,21.65,19.17,244.0,0,290.25
car_petrol,327.07,fish,0.15,natural_gas,4.47,8,16000.0,25.98,25.83,193.0,0,542.92
bus,35.23,chicken,0.15,coal,3.43,8,16000.0,15.16,22.5,255.0,0,244.08
car_petrol,109.83,fish,0.15,coal,4.11,1,2000.0,8.66,28.33,125.0,0,198.08
bicycle,3.23,chicken,0.15,coal,4.15,4,8000.0,2.17,7.5,52.0,0,104.33
car_ev,323.5,chicken,0.15,coal,4.93,1,2000.0,90.93,6.67,252.0,0,156.17
car_diesel,103.5,vegetables,0.9,natural_gas,3.27,1,2000.0,12.99,31.67,69.0,0,131.58
bicycle,0.2,chicken,0.15,natural_gas,5.76,0,0.0,15.16,1.67,139.0,0,81.17
bicycle,1.13,dairy,0.75,grid_eu,4.93,8,16000.0,4.33,35.0,242.0,1,217.25
bus,44.27,fish,0.15,natural_gas,6.42,4,8000.0,17.32,23.33,224.0,0,171.17
bus,25.97,chicken,0.15,coal,3.27,0,0.0,15.16,13.33,242.0,0,138.5
bus,30.43,vegetables,0.9,natural_gas,3.41,1,2000.0,60.62,24.17,193.0,1,121.92
car_ev,182.13,fish,0.15,coal,5.39,1,2000.0,2.17,37.5,79.0,0,95.25
car_diesel,130.4,fish,0.15,coal,3.8,0,0.0,25.98,34.17,222.0,0,232.5
bicycle,2.97,chicken,0.15,natural_gas,4.05,1,2000.0,106.09,38.33,271.0,0,219.08
car_petrol,145.3,chicken,0.15,coal,4.45,4,8000.0,21.65,7.5,193.0,0,194.83
car_diesel,262.43,fish,0.15,coal,5.06,1,2000.0,60.62,36.67,156.0,0,332.0
bus,12.47,fish,0.15,natural_gas,5.38,1,2000.0,4.33,28.33,168.0,0,104.42
bus,40.6,dairy,0.75,natural_gas,3.64,1,2000.0,4.33,14.17,175.0,0,123.33
bicycle,0.03,chicken,0.15,natural_gas,2.94,1,2000.0,4.33,31.67,212.0,0,129.67
bus,21.27,chicken,0.15,natural_gas,3.71,0,0.0,30.31,30.0,101.0,1,153.92
car_petrol,288.03,chicken,0.15,natural_gas,5.9,1,2000.0,17.32,2.5,296.0,0,231.5
bicycle,1.53,chicken,0.15,coal,4.89,0,0.0,10.82,41.67,66.0,0,152.33
car_petrol,95.7,dairy,0.75,coal,3.99,1,2000.0,8.66,29.17,210.0,1,140.33
bus,32.6,chicken,0.15,coal,4.64,8,16000.0,15.16,38.33,189.0,1,291.92
bus,52.83,chicken,0.15,natural_gas,5.01,8,16000.0,4.33,30.0,225.0,0,211.67
bicycle,3.07,vegetables,0.9,coal,4.46,0,0.0,30.31,17.5,139.0,0,69.83
car_petrol,139.9,dairy,0.75,coal,4.23,8,16000.0,17.32,23.33,217.0,0,296.58
bus,6.63,vegetables,0.9,grid_eu,5.01,4,8000.0,17.32,1.67,275.0,0,103.08
bus,24.4,chicken,0.15,coal,3.46,4,8000.0,17.32,5.0,81.0,0,117.17
bus,19.47,vegetables,0.9,natural_gas,3.55,4,8000.0,25.98,3.33,270.0,0,151.0
bus,15.87,fish,0.15,natural_gas,4.7,8,16000.0,34.64,21.67,219.0,0,232.0
bus,50.23,chicken,0.15,grid_eu,6.35,8,16000.0,60.62,1.67,207.0,0,212.83
car_ev,230.5,dairy,0.75,coal,4.25,1,2000.0,10.82,23.33,131.0,0,100.25
bus,4.43,vegetables,0.9,coal,3.6,1,2000.0,34.64,6.67,56.0,0,97.25
bicycle,0.3,dairy,0.75,coal,4.68,1,2000.0,4.33,25.0,184.0,1,106.58
bicycle,1.13,vegetables,0.9,grid_eu,3.62,0,0.0,12.99,5.0,250.0,0,70.17
car_ev,311.97,dairy,0.75,coal,5.35,8,16000.0,17.32,26.67,85.0,1,221.17
bicycle,2.07,fish,0.15,natural_gas,4.69,0,0.0,15.16,22.5,126.0,0,69.17
bus,56.03,vegetables,0.9,natural_gas,3.74,1,2000.0,25.98,20.0,297.0,0,135.33
bicycle,3.1,dairy,0.75,coal,5.47,0,0.0,12.99,41.67,210.0,1,119.92
bicycle,1.87,chicken,0.15,coal,3.68,8,16000.0,2.17,35.83,245.0,0,242.0
car_petrol,116.97,fish,0.15,coal,3.49,8,16000.0,30.31,27.5,293.0,0,341.92
bicycle,1.23,dairy,0.75,coal,4.95,1,2000.0,4.33,28.33,173.0,0,88.33
