transport_type,km_per_day,food_type,kg_food_per_day,energy_source,kwh_per_day,flights_per_year,flight_km_total,monthly_co2_kg
car_diesel,301.03,fish,0.3,grid_eu,5.1,0,0,264.5
bus,48.7,vegetables,0.5,natural_gas,6.9,4,8000,193.92
bicycle,1.3,vegetables,0.3,coal,7.2,8,16000,151.83
car_diesel,167.77,vegetables,0.3,natural_gas,5.0,0,0,222.08
bus,35.5,vegetables,0.3,grid_eu,7.2,4,8000,177.42
bus,30.9,fish,0.3,coal,6.8,1,2000,118.75
car_petrol,75.9,vegetables,0.5,grid_eu,5.0,4,8000,140.83
bicycle,3.23,chicken,0.4,natural_gas,6.3,1,2000,143.08
car_petrol,242.4,vegetables,0.3,coal,5.4,4,8000,338.33
car_petrol,175.33,vegetables,0.5,grid_eu,6.4,1,2000,271.83
bus,58.33,fish,0.3,coal,5.9,1,2000,139.5
car_petrol,99.93,vegetables,0.5,natural_gas,5.0,4,8000,261.25
car_petrol,304.9,fish,0.3,natural_gas,5.1,1,2000,372.08
bus,64.9,fish,0.3,grid_eu,7.3,1,2000,165.33
car_petrol,162.83,vegetables,0.5,grid_eu,7.1,8,16000,270.5
bicycle,0.67,chicken,0.4,grid_eu,5.1,4,8000,112.58
bicycle,0.77,vegetables,0.5,coal,7.4,0,0,160.75
bicycle,1.13,chicken,0.4,grid_eu,7.4,4,8000,226.58
bicycle,1.97,vegetables,0.5,coal,6.1,4,8000,194.67
bus,22.73,vegetables,0.5,coal,5.0,0,0,105.83
bicycle,0.33,vegetables,0.5,natural_gas,7.0,0,0,150.25
bicycle,0.33,vegetables,0.3,grid_eu,5.7,8,16000,151.33
car_petrol,265.47,chicken,0.4,coal,6.6,0,0,386.5
car_petrol,120.2,chicken,0.4,coal,6.6,1,2000,159.08
bus,17.87,vegetables,0.3,natural_gas,5.2,4,8000,168.42
bus,52.13,chicken,0.4,natural_gas,5.4,1,2000,158.0
bicycle,2.6,vegetables,0.3,grid_eu,6.1,4,8000,147.5
bicycle,3.27,chicken,0.4,coal,6.2,0,0,110.25
bus,60.67,fish,0.3,coal,7.1,8,16000,189.08
bus,8.1,vegetables,0.3,coal,7.0,0,0,159.83
bus,52.87,vegetables,0.3,natural_gas,5.8,8,16000,206.42
bicycle,0.37,chicken,0.4,natural_gas,5.6,4,8000,120.33
bicycle,2.4,vegetables,0.5,natural_gas,6.5,0,0,104.5
bus,38.57,vegetables,0.5,grid_eu,6.9,0,0,117.58
bus,46.0,fish,0.3,coal,5.7,0,0,133.75
car_petrol,192.17,vegetables,0.5,grid_eu,5.7,0,0,254.5
bicycle,3.07,vegetables,0.5,natural_gas,5.9,8,16000,241.83
car_petrol,259.9,fish,0.3,grid_eu,7.2,4,8000,358.42
bicycle,1.67,vegetables,0.3,grid_eu,6.2,8,16000,192.33
car_petrol,254.3,vegetables,0.5,coal,6.7,4,8000,344.33
car_petrol,78.9,vegetables,0.5,coal,5.1,4,8000,249.42
car_petrol,132.0,chicken,0.4,coal,5.7,4,8000,258.17
bicycle,1.4,vegetables,0.3,coal,6.9,1,2000,113.67
car_petrol,215.17,chicken,0.4,coal,6.5,1,2000,245.08
bicycle,1.37,vegetables,0.5,grid_eu,5.6,4,8000,112.42
bicycle,2.37,fish,0.3,natural_gas,7.4,0,0,86.5
bicycle,1.3,vegetables,0.5,coal,6.6,0,0,151.25
bicycle,1.67,vegetables,0.5,coal,6.3,8,16000,213.83
car_ev,290.23,vegetables,0.3,coal,5.2,8,16000,203.25
car_petrol,5.57,fish,0.3,grid_eu,5.9,8,16000,171.33
bus,21.03,fish,0.3,natural_gas,5.2,8,16000,191.58
bus,6.47,vegetables,0.3,grid_eu,6.5,1,2000,124.33
bicycle,1.53,chicken,0.4,coal,6.2,1,2000,141.0
bicycle,1.23,vegetables,0.5,coal,6.5,4,8000,215.08
bicycle,1.03,vegetables,0.5,coal,5.0,1,2000,79.17
car_petrol,96.0,vegetables,0.3,coal,6.0,0,0,160.25
bicycle,0.2,fish,0.3,coal,6.9,0,0,145.92
bicycle,1.33,fish,0.3,coal,5.1,8,16000,213.5
bicycle,0.03,vegetables,0.3,coal,5.9,4,8000,204.67
bus,44.7,vegetables,0.5,grid_eu,7.2,0,0,54.75
bus,13.1,fish,0.3,grid_eu,7.1,8,16000,146.5
bus,6.37,vegetables,0.3,natural_gas,5.2,4,8000,182.0
bus,4.37,fish,0.3,coal,6.4,8,16000,250.75
car_diesel,47.3,chicken,0.4,coal,5.8,8,16000,312.33
car_ev,305.3,vegetables,0.3,grid_eu,5.2,1,2000,93.5
car_petrol,267.2,vegetables,0.5,coal,7.1,0,0,234.17
bicycle,2.9,chicken,0.4,grid_eu,7.4,0,0,112.17
bicycle,0.1,vegetables,0.3,natural_gas,6.5,1,2000,55.92
bicycle,0.43,chicken,0.4,coal,6.9,4,8000,141.25
bicycle,2.47,chicken,0.4,grid_eu,5.6,0,0,67.5
car_petrol,258.1,fish,0.3,coal,5.1,4,8000,230.67
bus,33.1,vegetables,0.3,natural_gas,6.1,0,0,86.08
bus,66.57,chicken,0.4,coal,5.6,1,2000,170.5
car_ev,90.7,chicken,0.4,coal,7.3,1,2000,180.92
bicycle,0.17,vegetables,0.5,coal,7.1,1,2000,109.33
bus,31.37,vegetables,0.3,coal,7.4,1,2000,100.75
car_diesel,293.83,vegetables,0.3,coal,5.7,4,8000,334.75
car_ev,109.2,fish,0.3,coal,6.3,1,2000,73.08
car_petrol,110.3,vegetables,0.3,grid_eu,5.8,0,0,154.67
car_petrol,87.43,fish,0.3,coal,7.0,0,0,183.08
car_diesel,263.83,chicken,0.4,grid_eu,6.5,8,16000,356.75
car_petrol,296.57,vegetables,0.3,grid_eu,6.7,4,8000,290.0
bicycle,0.63,vegetables,0.5,natural_gas,7.2,0,0,79.42
car_ev,122.07,chicken,0.4,natural_gas,5.9,4,8000,170.5
car_petrol,20.37,vegetables,0.3,coal,6.2,0,0,210.08
bus,47.7,chicken,0.4,coal,5.1,8,16000,295.92
bus,65.93,fish,0.3,coal,6.4,0,0,121.58
bicycle,3.07,vegetables,0.3,grid_eu,5.8,8,16000,207.67
bicycle,2.73,chicken,0.4,coal,6.0,4,8000,200.92
bus,61.7,fish,0.3,coal,6.5,8,16000,230.08
bus,40.8,vegetables,0.5,coal,5.7,1,2000,125.0
car_ev,273.97,fish,0.3,coal,6.8,0,0,142.33
bus,46.33,chicken,0.4,coal,6.9,0,0,143.08
bus,14.47,vegetables,0.3,coal,7.3,4,8000,177.92
car_petrol,248.67,vegetables,0.3,coal,5.5,0,0,170.17
bicycle,0.5,vegetables,0.3,coal,7.0,1,2000,101.75
car_diesel,156.2,vegetables,0.5,natural_gas,5.0,8,16000,289.42
bicycle,2.93,vegetables,0.5,grid_eu,6.2,0,0,114.83
bicycle,1.33,fish,0.3,grid_eu,7.1,8,16000,177.92
bicycle,1.87,fish,0.3,coal,6.1,0,0,122.0
bicycle,0.47,vegetables,0.3,coal,7.2,8,16000,234.67
bus,3.6,vegetables,0.3,coal,6.7,8,16000,184.17
car_ev,172.27,chicken,0.4,natural_gas,5.1,0,0,129.33
car_petrol,22.4,vegetables,0.3,coal,7.4,4,8000,200.5
bicycle,3.13,vegetables,0.3,natural_gas,6.7,8,16000,250.33
car_petrol,103.8,vegetables,0.5,coal,6.4,1,2000,211.67
car_petrol,237.8,vegetables,0.5,natural_gas,5.5,1,2000,202.0
car_diesel,286.97,vegetables,0.3,coal,5.6,1,2000,333.33
bus,28.4,chicken,0.4,natural_gas,6.6,0,0,107.33
bus,55.77,vegetables,0.5,natural_gas,6.6,1,2000,193.08
bus,52.13,vegetables,0.5,coal,5.9,8,16000,227.5
bicycle,2.47,vegetables,0.3,coal,5.3,1,2000,114.25
car_petrol,96.17,chicken,0.4,natural_gas,5.3,1,2000,195.75
car_petrol,271.0,vegetables,0.3,natural_gas,5.7,1,2000,378.0
bus,7.6,vegetables,0.5,coal,5.2,8,16000,248.92
bus,38.73,vegetables,0.5,coal,5.1,0,0,86.58
bus,2.37,fish,0.3,coal,6.0,0,0,86.33
car_diesel,211.23,chicken,0.4,natural_gas,6.3,4,8000,301.67
bus,54.97,vegetables,0.3,natural_gas,5.8,1,2000,84.08
car_diesel,205.3,chicken,0.4,natural_gas,5.6,8,16000,241.25
car_diesel,329.47,chicken,0.4,grid_eu,7.1,0,0,357.83
car_petrol,135.33,vegetables,0.3,coal,6.3,4,8000,285.75
bicycle,2.27,chicken,0.4,natural_gas,6.1,1,2000,111.17
bicycle,0.17,fish,0.3,coal,6.3,8,16000,308.08
bus,23.4,fish,0.3,natural_gas,5.7,1,2000,124.5
bicycle,0.07,vegetables,0.3,coal,5.1,8,16000,231.58
bicycle,1.4,chicken,0.4,coal,5.7,1,2000,82.75
bus,9.13,chicken,0.4,coal,7.0,0,0,162.0
bus,19.67,chicken,0.4,coal,5.1,4,8000,122.83
car_diesel,2.8,vegetables,0.5,natural_gas,5.1,4,8000,156.67
car_diesel,230.27,fish,0.3,coal,6.5,4,8000,294.58
bicycle,1.73,chicken,0.4,coal,6.7,1,2000,137.0
car_petrol,4.03,vegetables,0.5,natural_gas,5.2,4,8000,105.67
bicycle,1.0,chicken,0.4,natural_gas,6.9,1,2000,127.42
bus,44.53,vegetables,0.3,grid_eu,6.0,1,2000,173.0
bicycle,2.97,chicken,0.4,grid_eu,5.5,0,0,154.17
bus,47.07,fish,0.3,natural_gas,6.0,0,0,83.33
bicycle,0.13,vegetables,0.5,grid_eu,5.6,0,0,123.75
bus,64.13,fish,0.3,coal,6.4,1,2000,94.92
bicycle,2.13,fish,0.3,natural_gas,5.8,0,0,56.83
car_ev,288.63,vegetables,0.3,natural_gas,5.8,0,0,77.17
bicycle,2.73,fish,0.3,coal,6.7,1,2000,86.42
bicycle,1.03,vegetables,0.3,grid_eu,5.1,8,16000,122.25
car_ev,174.33,chicken,0.4,natural_gas,5.5,1,2000,76.17
bus,15.0,chicken,0.4,grid_eu,7.2,4,8000,145.08
bus,14.7,vegetables,0.5,coal,6.9,8,16000,228.5
car_petrol,205.33,vegetables,0.5,coal,5.1,1,2000,249.0
bicycle,1.17,vegetables,0.3,coal,7.0,4,8000,180.0
bicycle,1.9,fish,0.3,natural_gas,5.5,4,8000,258.17
bicycle,0.23,vegetables,0.5,coal,6.0,8,16000,230.33
car_petrol,182.3,fish,0.3,coal,6.6,4,8000,194.58
bicycle,0.2,fish,0.3,coal,6.2,4,8000,121.83
bus,0.7,chicken,0.4,coal,5.5,4,8000,196.33
bus,37.57,vegetables,0.5,coal,6.9,1,2000,144.25
bicycle,0.23,chicken,0.4,coal,7.2,0,0,96.83
car_ev,200.93,vegetables,0.5,coal,6.1,4,8000,157.0
car_petrol,55.63,vegetables,0.3,coal,5.1,1,2000,125.42
bus,65.73,fish,0.3,coal,6.1,0,0,104.33
bus,22.8,chicken,0.4,grid_eu,5.9,0,0,113.33
bicycle,0.43,chicken,0.4,coal,6.5,8,16000,318.67
car_petrol,268.7,vegetables,0.3,coal,6.4,8,16000,381.67
car_petrol,84.8,vegetables,0.3,coal,7.4,0,0,236.08
bicycle,1.53,vegetables,0.5,grid_eu,6.7,1,2000,94.25
bus,2.07,fish,0.3,grid_eu,7.4,8,16000,198.5
car_ev,148.23,vegetables,0.3,coal,6.2,4,8000,220.75
car_diesel,143.43,fish,0.3,coal,6.7,1,2000,225.5
car_petrol,105.87,vegetables,0.3,grid_eu,7.4,8,16000,253.75
car_diesel,241.83,fish,0.3,coal,5.0,1,2000,261.17
bicycle,2.07,vegetables,0.3,coal,5.2,8,16000,301.58
car_petrol,208.47,chicken,0.4,coal,7.1,8,16000,417.75
bicycle,3.1,vegetables,0.3,coal,6.7,8,16000,203.58
bicycle,2.87,chicken,0.4,coal,5.2,0,0,40.67
bus,11.9,fish,0.3,coal,5.4,1,2000,200.75
car_petrol,290.83,vegetables,0.3,coal,6.0,8,16000,596.58
bus,58.43,vegetables,0.5,natural_gas,6.3,8,16000,222.5
bicycle,1.5,chicken,0.4,coal,6.9,8,16000,193.42
bus,9.73,vegetables,0.3,coal,6.4,1,2000,131.17
bus,57.97,vegetables,0.5,coal,7.0,8,16000,205.92
bicycle,0.07,chicken,0.4,grid_eu,6.4,4,8000,211.75
bicycle,1.27,chicken,0.4,coal,5.0,8,16000,191.5
bus,32.33,fish,0.3,grid_eu,6.8,1,2000,120.42
car_petrol,287.2,vegetables,0.3,natural_gas,6.2,0,0,353.33
bus,21.17,fish,0.3,coal,5.4,8,16000,220.83
car_ev,97.13,chicken,0.4,coal,5.3,0,0,86.08
bicycle,3.07,fish,0.3,grid_eu,7.1,1,2000,82.5
bicycle,2.23,vegetables,0.3,grid_eu,6.3,0,0,78.08
car_diesel,232.4,fish,0.3,grid_eu,5.3,4,8000,290.25
car_petrol,327.07,fish,0.3,natural_gas,5.5,8,16000,542.92
bus,35.23,chicken,0.4,coal,5.8,8,16000,244.08
car_petrol,109.83,fish,0.3,coal,6.1,1,2000,198.08
bicycle,3.23,chicken,0.4,coal,5.7,4,8000,104.33
car_ev,323.5,chicken,0.4,coal,5.9,1,2000,156.17
car_diesel,103.5,vegetables,0.3,natural_gas,5.8,1,2000,131.58
bicycle,0.2,chicken,0.4,natural_gas,7.3,0,0,81.17
bicycle,1.13,vegetables,0.5,grid_eu,6.5,8,16000,217.25
bus,44.27,fish,0.3,natural_gas,7.4,4,8000,171.17
bus,25.97,chicken,0.4,coal,5.7,0,0,138.5
bus,30.43,vegetables,0.3,natural_gas,5.5,1,2000,121.92
car_ev,182.13,fish,0.3,coal,6.9,1,2000,95.25
car_diesel,130.4,fish,0.3,coal,5.7,0,0,232.5
bicycle,2.97,chicken,0.4,natural_gas,5.5,1,2000,219.08
car_petrol,145.3,chicken,0.4,coal,6.5,4,8000,194.83
car_diesel,262.43,fish,0.3,coal,7.1,1,2000,332.0
bus,12.47,fish,0.3,natural_gas,7.0,1,2000,104.42
bus,40.6,vegetables,0.5,natural_gas,6.0,1,2000,123.33
bicycle,0.03,chicken,0.4,natural_gas,5.4,1,2000,129.67
bus,21.27,chicken,0.4,natural_gas,5.8,0,0,153.92
car_petrol,288.03,chicken,0.4,natural_gas,6.9,1,2000,231.5
bicycle,1.53,chicken,0.4,coal,6.4,0,0,152.33
car_petrol,95.7,vegetables,0.5,coal,6.5,1,2000,140.33
bus,32.6,chicken,0.4,coal,6.5,8,16000,291.92
bus,52.83,chicken,0.4,natural_gas,6.2,8,16000,211.67
bicycle,3.07,vegetables,0.3,coal,6.1,0,0,69.83
car_petrol,139.9,vegetables,0.5,coal,6.7,8,16000,296.58
bus,6.63,vegetables,0.3,grid_eu,6.5,4,8000,103.08
bus,24.4,chicken,0.4,coal,5.1,4,8000,117.17
bus,19.47,vegetables,0.3,natural_gas,5.5,4,8000,151.0
bus,15.87,fish,0.3,natural_gas,6.7,8,16000,232.0
bus,50.23,chicken,0.4,grid_eu,7.4,8,16000,212.83
car_ev,230.5,vegetables,0.5,coal,5.0,1,2000,100.25
bus,4.43,vegetables,0.3,coal,6.1,1,2000,97.25
bicycle,0.3,vegetables,0.5,coal,6.3,1,2000,106.58
bicycle,1.13,vegetables,0.3,grid_eu,5.5,0,0,70.17
car_ev,311.97,vegetables,0.5,coal,6.9,8,16000,221.17
bicycle,2.07,fish,0.3,natural_gas,6.3,0,0,69.17
bus,56.03,vegetables,0.3,natural_gas,5.2,1,2000,135.33
bicycle,3.1,vegetables,0.5,coal,6.6,0,0,119.92
bicycle,1.87,chicken,0.4,coal,6.1,8,16000,242.0
car_petrol,116.97,fish,0.3,coal,5.9,8,16000,341.92
bicycle,1.23,vegetables,0.5,coal,6.5,1,2000,88.33
car_petrol,224.37,chicken,0.4,coal,5.7,8,16000,350.25
bus,46.27,vegetables,0.5,coal,6.9,1,2000,71.33
car_ev,5.3,vegetables,0.5,grid_eu,5.4,4,8000,202.75
car_petrol,265.87,vegetables,0.5,coal,5.5,0,0,373.58
bus,34.4,chicken,0.4,grid_eu,5.7,0,0,138.42
bus,45.03,vegetables,0.3,coal,5.5,1,2000,123.67
bus,14.53,vegetables,0.5,natural_gas,5.9,8,16000,246.25
car_petrol,153.17,vegetables,0.3,coal,6.6,1,2000,215.83
bus,25.67,vegetables,0.5,coal,5.0,0,0,97.17
bus,54.4,chicken,0.4,natural_gas,6.3,1,2000,145.17
bus,2.3,fish,0.3,natural_gas,5.0,1,2000,135.67
bus,62.53,fish,0.3,grid_eu,6.4,0,0,174.17
bus,5.27,vegetables,0.3,coal,5.5,0,0,110.58
bus,27.93,chicken,0.4,coal,6.8,4,8000,222.75
car_diesel,90.77,vegetables,0.5,grid_eu,5.6,1,2000,222.0
bus,19.77,vegetables,0.3,grid_eu,6.1,4,8000,103.25
car_petrol,163.67,vegetables,0.3,coal,5.5,0,0,249.25
bicycle,2.03,chicken,0.4,natural_gas,5.0,1,2000,140.67
bicycle,1.8,chicken,0.4,coal,5.7,1,2000,130.25
car_diesel,147.5,fish,0.3,natural_gas,6.1,1,2000,260.58
bicycle,2.83,chicken,0.4,coal,5.0,8,16000,341.25
car_petrol,247.8,vegetables,0.5,coal,6.4,1,2000,207.17
car_petrol,241.93,chicken,0.4,grid_eu,5.9,4,8000,423.5
bicycle,0.23,vegetables,0.3,coal,5.2,0,0,180.0
bicycle,2.47,vegetables,0.5,coal,5.2,4,8000,174.25
bicycle,1.23,vegetables,0.3,grid_eu,6.4,0,0,141.33
car_ev,39.0,vegetables,0.3,coal,6.5,0,0,84.08
car_petrol,229.67,chicken,0.4,coal,6.5,0,0,177.83
bus,16.87,vegetables,0.3,coal,6.2,1,2000,170.58
bicycle,3.3,chicken,0.4,natural_gas,6.0,0,0,182.5
car_ev,56.5,vegetables,0.5,natural_gas,7.2,0,0,98.08
car_ev,189.03,fish,0.3,grid_eu,6.6,4,8000,151.17
car_ev,285.1,chicken,0.4,grid_eu,5.6,0,0,107.0
bus,47.27,fish,0.3,coal,6.5,1,2000,153.25
bus,12.73,fish,0.3,grid_eu,6.0,1,2000,85.5
car_petrol,166.83,chicken,0.4,natural_gas,7.0,0,0,216.67
bicycle,2.57,vegetables,0.5,grid_eu,5.3,8,16000,182.42
bus,6.47,vegetables,0.5,grid_eu,6.7,1,2000,125.0
bus,48.2,vegetables,0.5,coal,6.6,4,8000,140.42
bicycle,1.93,vegetables,0.3,coal,6.3,4,8000,159.5
car_petrol,252.33,vegetables,0.3,natural_gas,6.4,1,2000,237.08
car_petrol,276.6,vegetables,0.3,natural_gas,5.4,1,2000,179.33
car_ev,107.2,fish,0.3,coal,5.5,8,16000,214.75
car_petrol,331.5,chicken,0.4,coal,5.1,1,2000,351.67
bus,16.63,fish,0.3,natural_gas,6.7,0,0,99.92
bus,47.53,vegetables,0.3,coal,5.4,4,8000,129.33
car_ev,3.17,chicken,0.4,coal,5.9,8,16000,274.5
car_diesel,48.9,vegetables,0.3,coal,5.7,8,16000,270.25
bus,39.07,fish,0.3,coal,5.7,0,0,139.58
bus,40.4,vegetables,0.5,grid_eu,5.6,1,2000,108.67
bicycle,3.3,chicken,0.4,grid_eu,6.3,8,16000,239.83
car_petrol,92.9,fish,0.3,grid_eu,7.1,0,0,93.83
bicycle,0.23,chicken,0.4,natural_gas,6.0,1,2000,124.08
car_ev,111.57,chicken,0.4,grid_eu,7.4,4,8000,162.83
bus,49.17,vegetables,0.3,grid_eu,5.0,4,8000,163.08
bus,62.43,fish,0.3,natural_gas,5.9,8,16000,314.83
bus,55.37,vegetables,0.3,natural_gas,7.4,8,16000,172.42
bus,25.8,chicken,0.4,coal,5.6,4,8000,201.75
bus,34.77,vegetables,0.3,grid_eu,5.5,8,16000,233.42
car_petrol,300.2,fish,0.3,grid_eu,6.9,4,8000,462.25
bicycle,0.5,vegetables,0.3,natural_gas,7.2,4,8000,195.25
bus,39.97,vegetables,0.5,natural_gas,5.0,0,0,186.0
bicycle,0.67,vegetables,0.5,coal,6.2,4,8000,192.42
car_diesel,135.27,vegetables,0.3,coal,6.1,1,2000,186.08
bicycle,3.17,vegetables,0.3,coal,7.0,4,8000,118.25
bicycle,2.37,chicken,0.4,coal,7.0,4,8000,173.92
bus,53.43,vegetables,0.5,grid_eu,5.6,8,16000,235.75
bus,53.17,fish,0.3,natural_gas,6.6,8,16000,254.75
bicycle,3.07,vegetables,0.3,coal,6.0,4,8000,194.75
bicycle,2.67,vegetables,0.5,natural_gas,6.9,4,8000,137.58
bicycle,0.7,vegetables,0.5,grid_eu,5.7,4,8000,184.5
bicycle,1.03,chicken,0.4,grid_eu,5.6,4,8000,116.83
bicycle,0.1,fish,0.3,coal,5.7,8,16000,193.08
car_ev,89.93,vegetables,0.5,coal,5.9,0,0,168.92
car_ev,52.67,fish,0.3,natural_gas,5.2,0,0,128.58
car_petrol,184.7,chicken,0.4,coal,7.4,1,2000,210.17
car_petrol,233.8,chicken,0.4,grid_eu,5.1,1,2000,333.0
bus,37.4,chicken,0.4,coal,6.0,8,16000,222.75
car_petrol,54.8,vegetables,0.3,coal,5.3,0,0,186.25
bus,61.8,vegetables,0.5,natural_gas,6.6,1,2000,114.83
bicycle,2.4,fish,0.3,natural_gas,5.4,8,16000,244.92
car_petrol,146.1,vegetables,0.3,grid_eu,5.9,8,16000,359.25
bicycle,2.3,fish,0.3,coal,6.1,4,8000,175.58
car_petrol,198.47,chicken,0.4,natural_gas,6.4,0,0,284.92
car_diesel,308.6,vegetables,0.5,coal,6.2,1,2000,309.42
car_ev,68.03,vegetables,0.3,natural_gas,6.7,4,8000,123.67
car_ev,67.77,chicken,0.4,coal,5.1,0,0,209.75
bus,65.27,vegetables,0.5,coal,6.9,4,8000,157.5
bicycle,1.93,vegetables,0.5,coal,6.0,4,8000,255.92
bicycle,3.07,vegetables,0.3,coal,6.5,4,8000,172.75
bicycle,3.1,vegetables,0.5,coal,5.9,8,16000,186.08
car_ev,264.2,chicken,0.4,coal,6.9,0,0,137.0
bus,66.27,chicken,0.4,grid_eu,6.5,8,16000,246.42
bus,25.23,vegetables,0.5,natural_gas,5.6,4,8000,189.83
car_petrol,283.23,chicken,0.4,coal,7.2,1,2000,234.42
bicycle,2.07,fish,0.3,coal,5.3,4,8000,165.25
car_petrol,177.43,vegetables,0.3,coal,6.6,1,2000,231.58
bicycle,0.57,vegetables,0.5,grid_eu,7.2,8,16000,184.33
bus,0.17,vegetables,0.3,natural_gas,5.7,8,16000,242.5
bus,66.57,fish,0.3,coal,7.0,1,2000,87.58
car_petrol,238.43,vegetables,0.3,natural_gas,5.6,4,8000,420.33
bus,43.37,chicken,0.4,natural_gas,7.3,0,0,132.92
car_petrol,95.47,vegetables,0.3,coal,7.4,4,8000,312.08
car_petrol,200.97,vegetables,0.3,coal,7.0,1,2000,257.0
car_ev,27.5,fish,0.3,coal,6.7,4,8000,190.0
bus,22.0,fish,0.3,coal,6.2,8,16000,305.75
bus,32.23,fish,0.3,coal,6.7,8,16000,143.67
bus,37.03,chicken,0.4,grid_eu,5.0,1,2000,141.25
bus,29.47,vegetables,0.3,grid_eu,5.7,8,16000,201.92
car_diesel,23.47,vegetables,0.3,coal,5.4,4,8000,177.5
car_petrol,83.8,chicken,0.4,natural_gas,7.0,1,2000,185.33
car_petrol,106.93,chicken,0.4,natural_gas,5.5,8,16000,254.83
bus,65.13,fish,0.3,grid_eu,5.6,8,16000,166.17
bicycle,3.07,vegetables,0.5,coal,5.3,0,0,133.75
bus,47.93,chicken,0.4,natural_gas,6.6,1,2000,145.92
bus,64.1,vegetables,0.3,natural_gas,5.9,4,8000,200.42
bus,28.2,fish,0.3,natural_gas,5.4,4,8000,161.75
bicycle,2.17,chicken,0.4,coal,6.0,1,2000,182.92
bicycle,1.37,chicken,0.4,grid_eu,6.7,4,8000,175.5
bus,21.17,fish,0.3,coal,6.1,1,2000,209.67
car_petrol,328.07,vegetables,0.5,grid_eu,5.4,0,0,246.33
bicycle,2.57,fish,0.3,natural_gas,6.0,4,8000,139.83
car_petrol,265.1,chicken,0.4,grid_eu,6.5,0,0,363.08
bicycle,1.6,vegetables,0.5,coal,5.5,4,8000,187.42
bicycle,2.87,fish,0.3,natural_gas,6.1,0,0,64.67
bicycle,0.6,fish,0.3,grid_eu,7.3,4,8000,232.83
bicycle,2.17,vegetables,0.5,coal,6.4,0,0,161.58
car_petrol,61.47,chicken,0.4,coal,5.4,4,8000,187.5
bicycle,3.03,fish,0.3,grid_eu,6.6,1,2000,96.25
bus,58.3,chicken,0.4,grid_eu,5.6,0,0,100.25
